                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.72619,                0.95056,                0.66896,                 1.0915,                0.83558,                0.69189,                0.82676,                0.64371,                0.84773,                0.70047,                0.84531,                0.63586,                0.78999,                 1.8552,                0.94848,                 1.3258,              0.0078715,              0.0078715,              0.0078715
                     45,                0.68952,                0.90959,                0.63994,                 1.0843,                0.71444,                 0.7118,                0.79379,                0.61613,                0.71213,                0.68039,                0.77618,                0.60468,                0.79372,                 1.7726,                 1.1016,                 1.3547,               0.007822,               0.007822,               0.007822
                     46,                0.72486,                 1.0657,                0.70113,                 1.0985,                0.73779,                0.82008,                0.85128,                0.64752,                0.78163,                 0.7606,                0.83527,                0.63377,                0.83646,                 2.0189,                0.99857,                 1.4083,              0.0077725,              0.0077725,              0.0077725
                     47,                0.68422,                0.94868,                0.64182,                 1.0798,                 0.8331,                0.69593,                0.81115,                0.60645,                 0.8331,                0.69593,                0.80838,                0.58468,                0.90071,                 2.4565,                 1.0043,                 1.5009,               0.007723,               0.007723,               0.007723
                     48,                0.69849,                 1.0029,                 0.6684,                 1.0851,                0.75322,                0.77916,                 0.7944,                0.60935,                0.76328,                0.78756,                0.80692,                0.58349,                0.79654,                 2.0792,                 1.0336,                 1.3457,              0.0076735,              0.0076735,              0.0076735
                     49,                0.68599,                0.96748,                 0.6266,                 1.0762,                0.78744,                0.71399,                0.78603,                 0.6017,                0.77955,                0.70627,                0.77551,                0.56959,                0.80777,                 2.1928,                 1.1184,                 1.3643,               0.007624,               0.007624,               0.007624
                     50,                0.68625,                0.94289,                0.62488,                 1.0828,                0.80636,                 0.8562,                0.87905,                0.67524,                0.80065,                0.83889,                0.86423,                0.64259,                0.81233,                 1.9183,                0.82768,                 1.3725,              0.0075745,              0.0075745,              0.0075745
                     51,                0.68723,                0.98516,                0.67816,                 1.0704,                0.82757,                0.87199,                0.92276,                0.69444,                0.82605,                0.82383,                0.88803,                 0.6837,                0.79165,                 1.7858,                0.76153,                 1.3479,               0.007525,               0.007525,               0.007525
                     52,                0.68604,                0.97622,                0.63061,                 1.0767,                0.77199,                0.84344,                0.87722,                0.68839,                0.76094,                0.80292,                0.84527,                0.66908,                0.77146,                 1.8894,                0.81307,                 1.3238,              0.0074755,              0.0074755,              0.0074755
                     53,                0.69542,                0.96731,                0.61955,                 1.0811,                0.67244,                0.70928,                0.66216,                0.49419,                0.67186,                0.71033,                0.67384,                0.48114,                0.84581,                  2.148,                 1.3675,                   1.42,               0.007426,               0.007426,               0.007426
                     54,                0.69694,                0.95823,                 0.6406,                 1.0845,                0.76435,                0.65689,                0.66478,                0.51264,                0.76171,                0.65725,                0.66413,                0.49209,                0.84912,                 2.2369,                 1.2767,                 1.4744,              0.0073765,              0.0073765,              0.0073765
                     55,                0.69657,                0.98041,                0.62883,                 1.0833,                0.87426,                0.85526,                0.90191,                0.69121,                0.85738,                0.83866,                0.86477,                 0.6634,                0.77305,                 1.7347,                 0.7758,                 1.3363,               0.007327,               0.007327,               0.007327
                     56,                 0.6682,                 0.9388,                0.63737,                 1.0739,                0.84678,                0.85725,                0.91095,                0.70011,                 0.8229,                0.85615,                0.89074,                0.67798,                0.76122,                 1.7285,                0.81379,                 1.3059,              0.0072775,              0.0072775,              0.0072775
                     57,                0.66254,                0.90741,                0.64424,                 1.0641,                0.76854,                0.77198,                0.80455,                0.63441,                0.76854,                0.77198,                  0.796,                0.59952,                0.79885,                 1.8311,                 0.9674,                 1.3592,               0.007228,               0.007228,               0.007228
                     58,                0.65844,                  0.888,                0.59832,                 1.0616,                0.81085,                0.75754,                0.85198,                0.67389,                0.81085,                0.75754,                0.84794,                0.63368,                0.78829,                 1.9909,                0.90374,                 1.3662,              0.0071785,              0.0071785,              0.0071785
                     59,                0.66108,                0.93491,                0.58626,                 1.0609,                 0.7867,                0.74665,                0.81768,                0.62318,                0.77347,                0.73832,                 0.7962,                0.58572,                0.79569,                 2.1274,                 1.0376,                 1.3464,               0.007129,               0.007129,               0.007129
