                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.62991,                0.94639,                0.70488,                 1.0462,                0.77192,                0.84226,                0.89423,                0.68009,                0.76271,                0.82859,                  0.884,                0.67009,                0.82178,                 1.5488,                0.93976,                 1.3454,               0.005743,               0.005743,               0.005743
                     88,                0.62802,                0.85317,                0.68316,                 1.0321,                0.76598,                0.80522,                0.85264,                0.66584,                0.77392,                 0.7927,                0.83214,                0.64888,                0.80553,                 1.6777,                0.98231,                 1.3194,              0.0056935,              0.0056935,              0.0056935
                     89,                0.64871,                0.94888,                0.66743,                  1.047,                0.86322,                0.84654,                0.90326,                0.69917,                0.88294,                0.80483,                  0.877,                0.68492,                0.75298,                 1.6329,                0.88188,                 1.2828,               0.005644,               0.005644,               0.005644
                     90,                0.64321,                0.88088,                0.67711,                 1.0474,                0.80449,                0.84333,                0.88559,                  0.675,                0.79444,                0.82704,                0.87139,                0.65698,                0.79522,                 1.8275,                 1.0058,                 1.3534,              0.0055945,              0.0055945,              0.0055945
                     91,                0.64213,                0.92743,                 0.6409,                 1.0365,                0.78792,                0.81235,                0.86409,                0.65648,                0.78662,                0.80759,                0.84806,                0.62203,                0.78074,                 1.8238,                 1.0183,                  1.322,               0.005545,               0.005545,               0.005545
                     92,                0.64461,                0.87014,                0.67576,                 1.0454,                0.79479,                0.77217,                0.83177,                0.64854,                0.78055,                0.75522,                0.82049,                0.63408,                0.76644,                 1.6202,                 1.1245,                 1.3048,              0.0054955,              0.0054955,              0.0054955
                     93,                0.62884,                0.89106,                0.65662,                 1.0456,                0.85344,                0.77725,                0.87561,                0.67975,                0.85264,                 0.7588,                0.87025,                0.67597,                 0.7718,                 1.8386,                0.91784,                 1.3329,               0.005446,               0.005446,               0.005446
                     94,                0.61887,                0.86689,                  0.635,                 1.0479,                0.83294,                0.74529,                0.86836,                0.68127,                0.83294,                0.74529,                0.86865,                0.67708,                0.75793,                 1.6761,                0.94969,                 1.3032,              0.0053965,              0.0053965,              0.0053965
                     95,                0.62698,                0.87916,                0.63945,                 1.0355,                0.66245,                 0.7802,                 0.8243,                0.63823,                0.77582,                0.67472,                0.81939,                0.61446,                0.82841,                 2.1517,                 1.0645,                 1.3673,               0.005347,               0.005347,               0.005347
                     96,                 0.6268,                0.90229,                0.65388,                  1.031,                0.78502,                0.81206,                0.87617,                0.68466,                0.78398,                0.81217,                0.87107,                0.65527,                0.75016,                 2.0813,                0.85593,                 1.2841,              0.0052975,              0.0052975,              0.0052975
                     97,                0.61336,                0.86691,                0.64418,                 1.0335,                0.80142,                0.84834,                 0.8806,                0.69419,                0.80142,                0.84834,                0.87914,                0.65953,                0.71693,                 1.8396,                 0.8539,                  1.248,               0.005248,               0.005248,               0.005248
                     98,                0.62151,                0.85333,                 0.6662,                 1.0388,                0.80599,                0.90339,                0.91227,                0.71994,                0.79936,                0.89523,                0.90756,                0.68873,                0.71466,                 1.8056,                0.73802,                 1.2305,              0.0051985,              0.0051985,              0.0051985
                     99,                0.64639,                0.88887,                 0.6337,                 1.0439,                 0.8573,                0.77725,                0.88493,                 0.7123,                0.85709,                0.76274,                0.88119,                 0.6679,                 0.6984,                 1.7494,                0.77436,                  1.235,               0.005149,               0.005149,               0.005149
                    100,                0.64561,                0.89355,                0.63896,                 1.0493,                0.74996,                0.84084,                0.87404,                0.70013,                0.85456,                0.73718,                0.86625,                0.67368,                0.72633,                 1.9096,                0.85856,                 1.2777,              0.0050995,              0.0050995,              0.0050995
                    101,                0.65084,                0.84086,                0.66167,                 1.0364,                0.81448,                0.78375,                0.88728,                0.71843,                0.74867,                0.84442,                0.88093,                0.68708,                0.72121,                 1.6817,                0.81191,                 1.2645,                0.00505,                0.00505,                0.00505
                    102,                0.62991,                0.89531,                0.62775,                 1.0426,                0.90329,                 0.8314,                0.90011,                0.71142,                0.89805,                0.84204,                0.91187,                0.70175,                0.74254,                 1.6234,                  0.763,                 1.3196,              0.0050005,              0.0050005,              0.0050005
                    103,                0.62854,                0.88865,                0.65657,                 1.0432,                0.84737,                0.79058,                0.89475,                0.71414,                0.77299,                0.82983,                0.88216,                0.68218,                0.71766,                 1.6613,                0.85096,                  1.268,               0.004951,               0.004951,               0.004951
                    104,                0.63859,                0.88761,                0.67568,                 1.0339,                0.85195,                 0.8793,                0.91343,                0.70779,                0.83222,                 0.8631,                0.89938,                0.68522,                0.74139,                 1.7446,                0.83349,                  1.284,              0.0049015,              0.0049015,              0.0049015
